GR;nr_modello;nome_modello;conc.;collezione;specifica;nome_modello.1;colore;ordinamento;ID Joor;Foto;fotolook;Concatena;;;;
15;148;VERY;148VERY;271;Giacca;VERY;2230;1;544432||223000000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/z25MuKrwSqGZe_LaujbiBQ_11332281106a1451b1aea0d8_16641302_02950260XX1.jpg;https://127-foto.netlify.app/157.jpg;VERY 2230(148);;;;
15;148;BALMA;148BALMA;271;Camicia;BALMA;1123;2;544531||112300000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/AKIqdOpDTWm_jbB8MTBNjQ_16609803916a5634db14d998_96942901_03000090XX1.jpg;https://127-foto.netlify.app/157.jpg;BALMA 1123(148);;;;
15;148;TALESE;148TALESE;271;Gonna;TALESE;1123;6;544529||112300000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/aPCn-P7dQb-25kHfw6DHtQ_12640348676a5635146196c6_94993554_03020030XX1.jpg;https://127-foto.netlify.app/157.jpg;TALESE 1123(148);;;;
15;148;IAPIGE;148IAPIGE;271;Borsa;IAPIGE;2339 0002;99;544272||233900020000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/cvf7J-0iQ4ecP4xpRAXFnA_4276540736a1453282dde79_10220699_02970160XX1.jpg;https://127-foto.netlify.app/157.jpg;IAPIGE 2339 0002(148);;;;
15;148;NIOLO;148NIOLO;271;Orecchino;NIOLO;0906 0002;99;544359||90600020000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/1-xs-rz7TtebHsiXxYKdJQ_2417545486a14533026e528_13948233_02970720XX1.jpg;https://127-foto.netlify.app/157.jpg;NIOLO 0906 0002(148);;;;
15;148;ULLANO        B;148ULLANO        B;271;Calzature;ULLANO        B;2;99;544483||200000000;#N/D;https://127-foto.netlify.app/157.jpg;ULLANO        B 2(148);;;;
15;148;DIADELFO;148DIADELFO;271;Cintura;DIADELFO;1566 0953 0002;99;544564||156609530002;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/WhatsApp Image 2026-07-15 at 10.03.35 (3).jpeg;https://127-foto.netlify.app/157.jpg;DIADELFO 1566 0953 0002(148);;;;
15;149;VERY;149VERY;271;Giacca;VERY;2230;1;544432||223000000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/z25MuKrwSqGZe_LaujbiBQ_11332281106a1451b1aea0d8_16641302_02950260XX1.jpg;https://127-foto.netlify.app/156.jpg;VERY 2230(149);;;;
15;149;BALMA;149BALMA;271;Camicia;BALMA;1123;2;544531||112300000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/AKIqdOpDTWm_jbB8MTBNjQ_16609803916a5634db14d998_96942901_03000090XX1.jpg;https://127-foto.netlify.app/156.jpg;BALMA 1123(149);;;;
15;149;AZZORRE;149AZZORRE;271;Pantalone;AZZORRE;2230;5;544441||223000000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/ZgBT5m73QPW7gATccGas3g_21284596846a1452407e51c3_73631924_02900680XX1.jpg;https://127-foto.netlify.app/156.jpg;AZZORRE 2230(149);;;;
15;149;NOMAGLIO      C;149NOMAGLIO      C;271;Bracciale;NOMAGLIO      C;0987 0212 0002;99;544242||98702120002;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/o4el4WDST_GAnO-UD8TmTw_4020636746a145338e3be47_39681256_02971340XX1.jpg;https://127-foto.netlify.app/156.jpg;NOMAGLIO      C 0987 0212 0002(149);;;;
15;149;IAPIGE;149IAPIGE;271;Borsa;IAPIGE;2264 0002;99;544272||226400020000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/zJZAly2zQS-u2eAs4ykTOg_16970615336a145327b51567_35646153_02970150XX1.jpg;https://127-foto.netlify.app/156.jpg;IAPIGE 2264 0002(149);;;;
15;149;NEVIGLIE;149NEVIGLIE;271;Orecchino;NEVIGLIE;0212 0987 0002;99;544457||21209870002;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/pBWomEtORpmttUyUZ8p8EQ_3710773156a1453417183e8_17218047_02971620XX1.jpg;https://127-foto.netlify.app/156.jpg;NEVIGLIE 0212 0987 0002(149);;;;
15;149;ULLANO        B;149ULLANO        B;271;Calzature;ULLANO        B;49;99;544483||4900000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/LFbr3MrZRrm_GbSwCPZkhA_20851971266a564345dfd0b4_67912225_03050770XX1.jpg;https://127-foto.netlify.app/156.jpg;ULLANO        B 49(149);;;;
15;150;ZIPOLO;150ZIPOLO;271;Giacca;ZIPOLO;3434;1;100838||343400000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/Ls7H_FOIQSu2lzSO-aXA_A_4394699416a563542e3c430_84941852_03040680XX1.jpg;https://127-foto.netlify.app/158.jpg;ZIPOLO 3434(150);;;;
15;150;BORD;150BORD;271;Top;BORD;201;3;544631||20100000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/DByTihoLSjqdMiZWzqDRBg_385723876a5634e3e56b48_55148367_03000330XX1.jpg;https://127-foto.netlify.app/158.jpg;BORD 201(150);;;;
15;150;ASSE;150ASSE;271;Pantalone;ASSE;1125;5;544438||112500000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/cZi2wFhmTz27d65PrXdssQ_13221273376a5634d15b1f14_76596401_02990200XX1.jpg;https://127-foto.netlify.app/158.jpg;ASSE 1125(150);;;;
15;150;NEMBO;150NEMBO;271;Bracciale;NEMBO;2;99;544362||200000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/xLITR-bmTpifPcpfySI7HA_11425679496a14532a752617_68673182_02970400XX1.jpg;https://127-foto.netlify.app/158.jpg;NEMBO 2(150);;;;
15;150;ULLANO        B;150ULLANO        B;271;Calzature;ULLANO        B;49;99;544483||4900000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/LFbr3MrZRrm_GbSwCPZkhA_20851971266a564345dfd0b4_67912225_03050770XX1.jpg;https://127-foto.netlify.app/158.jpg;ULLANO        B 49(150);;;;
15;150;DAMIETTA;150DAMIETTA;271;Cintura;DAMIETTA;2;99;544486||200000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/klaNMdKISpOxnwF12n9kWg_12483183316a145343c682c9_65526302_02971730XX1.jpg;https://127-foto.netlify.app/158.jpg;DAMIETTA 2(150);;;;
15;151;ZARINA;151ZARINA;271;Pullover;ZARINA;3434;4;100837||343400000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/BcqUwc8WR-qvgDeM4HQH1Q_15974694006a563541f04452_07055448_03040660XX1.jpg;https://127-foto.netlify.app/161.jpg;ZARINA 3434(151);;;;
15;151;AZZORRE;151AZZORRE;271;Pantalone;AZZORRE;2230;5;544441||223000000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/ZgBT5m73QPW7gATccGas3g_21284596846a1452407e51c3_73631924_02900680XX1.jpg;https://127-foto.netlify.app/161.jpg;AZZORRE 2230(151);;;;
